instruction,intent,category,response
I need help with account recovery for order 105330,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with escalation matrix for order 102850,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with product return for order 104700,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with payment methods for order 104335,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with order tracking for order 102955,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with technical troubleshooting for order 105185,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with account recovery for order 102600,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with data privacy for order 101770,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with account recovery for order 102080,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with order tracking for order 102240,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with subscription cancellation for order 104560,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with refund policy for order 101360,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with order tracking for order 102110,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with escalation matrix for order 102980,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with password reset for order 104425,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with subscription cancellation for order 103520,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with refund policy for order 100450,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with shipping delays for order 103480,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with account recovery for order 103770,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with billing disputes for order 103355,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with technical troubleshooting for order 105055,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with order tracking for order 104515,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with data privacy for order 102095,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with account recovery for order 104940,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with working hours for order 101650,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with data privacy for order 102225,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with data privacy for order 104825,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with password reset for order 103450,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with working hours for order 102170,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with escalation matrix for order 101225,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with product return for order 105285,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with billing disputes for order 100495,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with billing disputes for order 101405,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with shipping delays for order 103545,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with subscription cancellation for order 100205,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with order tracking for order 101135,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with payment methods for order 100305,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with billing disputes for order 104915,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with billing disputes for order 101340,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with order tracking for order 103410,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with payment methods for order 100565,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with refund policy for order 102855,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with order tracking for order 100680,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with technical troubleshooting for order 100180,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with payment methods for order 102905,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with product return for order 105155,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with data privacy for order 100535,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with password reset for order 103580,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with subscription cancellation for order 100270,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with billing disputes for order 104200,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with account recovery for order 101170,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with working hours for order 100220,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with technical troubleshooting for order 102650,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with subscription cancellation for order 100790,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with subscription cancellation for order 103585,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with account recovery for order 100650,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with data privacy for order 103915,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with technical troubleshooting for order 100960,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with billing disputes for order 104525,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with account recovery for order 104680,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with password reset for order 104815,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with password reset for order 101760,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with data privacy for order 101965,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with escalation matrix for order 102525,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with billing disputes for order 101665,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with product return for order 102620,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with order tracking for order 100420,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with password reset for order 101890,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with password reset for order 103515,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with payment methods for order 104270,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with order tracking for order 104450,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with working hours for order 104640,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with subscription cancellation for order 101375,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with data privacy for order 102550,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with shipping delays for order 101270,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with billing disputes for order 105370,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with billing disputes for order 105305,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with refund policy for order 105000,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with product return for order 102100,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with shipping delays for order 104845,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with working hours for order 104770,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with escalation matrix for order 100445,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with payment methods for order 105310,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with refund policy for order 103050,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with shipping delays for order 100945,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with shipping delays for order 100360,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with product return for order 103660,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with refund policy for order 103700,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with shipping delays for order 100490,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with payment methods for order 102580,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with escalation matrix for order 103045,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with working hours for order 100025,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with order tracking for order 102370,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with billing disputes for order 105045,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with data privacy for order 103460,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with account recovery for order 104290,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with data privacy for order 105215,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with order tracking for order 100615,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with password reset for order 100330,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with payment methods for order 103685,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with payment methods for order 101670,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with billing disputes for order 100755,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with technical troubleshooting for order 103820,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with data privacy for order 101705,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with working hours for order 103145,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with order tracking for order 103800,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with working hours for order 104705,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with product return for order 102750,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with billing disputes for order 100170,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with product return for order 100540,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with subscription cancellation for order 101700,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with payment methods for order 102775,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with account recovery for order 104615,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with product return for order 103010,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with account recovery for order 100325,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with shipping delays for order 100620,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with billing disputes for order 101860,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with account recovery for order 102210,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with password reset for order 103320,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with technical troubleshooting for order 101675,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with subscription cancellation for order 103130,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with billing disputes for order 100430,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with refund policy for order 104220,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with billing disputes for order 103875,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with technical troubleshooting for order 101870,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with product return for order 102685,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with escalation matrix for order 104800,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with billing disputes for order 100690,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with password reset for order 102605,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with billing disputes for order 102705,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with data privacy for order 102420,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with payment methods for order 103295,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with subscription cancellation for order 101180,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with billing disputes for order 103095,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with escalation matrix for order 103825,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with data privacy for order 100990,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with payment methods for order 103555,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with shipping delays for order 102765,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with technical troubleshooting for order 103690,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with subscription cancellation for order 102805,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with product return for order 101905,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with subscription cancellation for order 103000,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with order tracking for order 100030,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with subscription cancellation for order 100725,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with billing disputes for order 102640,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with refund policy for order 104480,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with technical troubleshooting for order 103885,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with order tracking for order 101590,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with shipping delays for order 104390,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with subscription cancellation for order 102025,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with order tracking for order 105230,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with technical troubleshooting for order 102195,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with escalation matrix for order 104215,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with technical troubleshooting for order 102715,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with account recovery for order 102015,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with working hours for order 102235,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with shipping delays for order 105300,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with product return for order 104570,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with order tracking for order 105295,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with order tracking for order 104905,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with payment methods for order 102450,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with escalation matrix for order 102330,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with working hours for order 104965,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with payment methods for order 100695,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with refund policy for order 103830,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with product return for order 102815,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with account recovery for order 102145,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with shipping delays for order 102115,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with working hours for order 104445,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with payment methods for order 105180,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with billing disputes for order 103550,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with technical troubleshooting for order 101610,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with product return for order 104895,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with data privacy for order 100665,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with escalation matrix for order 104605,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with data privacy for order 101510,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with shipping delays for order 105105,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with billing disputes for order 102835,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with escalation matrix for order 100835,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with password reset for order 100785,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with billing disputes for order 102380,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with account recovery for order 100910,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with technical troubleshooting for order 104535,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with shipping delays for order 102440,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with product return for order 102555,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with password reset for order 104100,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with shipping delays for order 104130,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with technical troubleshooting for order 104210,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with technical troubleshooting for order 104080,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with product return for order 104960,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with working hours for order 101130,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with refund policy for order 103505,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with shipping delays for order 105235,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with technical troubleshooting for order 101935,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with working hours for order 103860,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with refund policy for order 103895,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with escalation matrix for order 105125,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with account recovery for order 100000,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with working hours for order 105290,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with payment methods for order 101800,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with password reset for order 102280,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with working hours for order 101325,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with working hours for order 102755,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with technical troubleshooting for order 100700,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with working hours for order 101455,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with billing disputes for order 102575,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with working hours for order 102820,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with refund policy for order 101490,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with password reset for order 101110,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with billing disputes for order 104395,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with data privacy for order 101185,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with product return for order 101515,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with data privacy for order 103135,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with working hours for order 103340,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with shipping delays for order 104325,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with shipping delays for order 103870,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with subscription cancellation for order 100660,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with shipping delays for order 101790,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with billing disputes for order 104135,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with payment methods for order 101085,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with refund policy for order 104805,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with billing disputes for order 100820,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with subscription cancellation for order 103195,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with subscription cancellation for order 102220,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with data privacy for order 104305,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with password reset for order 102865,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with password reset for order 102670,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with password reset for order 101565,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with payment methods for order 100500,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with working hours for order 102495,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with refund policy for order 104350,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with refund policy for order 102985,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with order tracking for order 100550,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with order tracking for order 104775,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with working hours for order 104575,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with product return for order 104830,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with working hours for order 100155,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with product return for order 102295,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with product return for order 100930,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with subscription cancellation for order 100985,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with account recovery for order 103185,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with subscription cancellation for order 104105,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with order tracking for order 101395,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with billing disputes for order 104265,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with technical troubleshooting for order 105250,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with working hours for order 101910,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with account recovery for order 104030,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with subscription cancellation for order 103455,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with order tracking for order 101915,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with payment methods for order 103880,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with billing disputes for order 104590,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with product return for order 101320,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with billing disputes for order 102315,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with product return for order 101450,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with shipping delays for order 100880,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with data privacy for order 104435,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with data privacy for order 102290,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with working hours for order 100610,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with technical troubleshooting for order 100570,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with technical troubleshooting for order 103105,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with escalation matrix for order 100965,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with account recovery for order 102470,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with data privacy for order 104110,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with password reset for order 104490,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with refund policy for order 101880,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with payment methods for order 100370,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with account recovery for order 101105,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with password reset for order 104685,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with refund policy for order 100840,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with refund policy for order 100905,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with escalation matrix for order 103435,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with order tracking for order 100875,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with technical troubleshooting for order 102780,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with escalation matrix for order 100640,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with password reset for order 104035,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with subscription cancellation for order 102610,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with data privacy for order 101900,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with account recovery for order 101885,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with payment methods for order 104855,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with shipping delays for order 104650,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with order tracking for order 101070,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with product return for order 101775,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with escalation matrix for order 105190,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with billing disputes for order 103745,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with product return for order 100475,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with subscription cancellation for order 104625,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with working hours for order 102885,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with shipping delays for order 101140,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with payment methods for order 103360,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with product return for order 103400,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with order tracking for order 102630,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
